date,total_electricity
2017-07-07,153957000
2017-07-08,143372000
2017-07-09,139606000
2017-07-10,156816000
2017-07-11,161423000
2017-07-12,163444000
2017-07-13,156547000
2017-07-14,151064000
2017-07-15,139034000
2017-07-16,142036000
2017-07-17,159028000
2017-07-18,162888000
2017-07-19,166908000
2017-07-20,167738000
2017-07-21,164570000
2017-07-22,148512000
2017-07-23,143725000
2017-07-24,149298000
2017-07-25,146099000
2017-07-26,149834000
2017-07-27,151236000
2017-07-28,152988000
2017-07-29,133414000
2017-07-30,130096000
2017-07-31,150244000
2017-08-01,156196000
2017-08-02,159381000
2017-08-03,161454000
2017-08-04,160742000
2017-08-05,143228000
2017-08-06,136001000
2017-08-07,150539000
2017-08-08,153718000
2017-08-09,154975000
2017-08-10,155097000
2017-08-11,153314000
2017-08-12,138949000
2017-08-13,140162000
2017-08-14,152952000
2017-08-15,156689000
2017-08-16,155870000
2017-08-17,153826000
2017-08-18,159750000
2017-08-19,145314000
2017-08-20,142201000
2017-08-21,158738000
2017-08-22,162607000
2017-08-23,160776000
2017-08-24,147959000
2017-08-25,143942000
2017-08-26,130253000
2017-08-27,130540000
2017-08-28,145937000
2017-08-29,146148000
2017-08-30,142801000
2017-08-31,144407000
2017-09-01,137639000
2017-09-02,126422000
2017-09-03,124931000
2017-09-04,114252000
2017-09-05,152804000
2017-09-06,155902000
2017-09-07,150383000
2017-09-08,145729000
2017-09-09,130321000
2017-09-10,128559000
2017-09-11,146838000
2017-09-12,148621000
2017-09-13,147980000
2017-09-14,154609000
2017-09-15,154274000
2017-09-16,136445000
2017-09-17,133655000
2017-09-18,148587000
2017-09-19,149161000
2017-09-20,155209000
2017-09-21,151501000
2017-09-22,126386000
2017-09-23,105799000
2017-09-24,126605000
2017-09-25,155576000
2017-09-26,161879000
2017-09-27,165752000
2017-09-28,158435000
2017-09-29,124473000
2017-09-30,103248000
2017-10-01,102184000
2017-10-02,119120000
2017-10-03,121612000
2017-10-04,121143000
2017-10-05,146685000
2017-10-06,149775000
2017-10-07,137143000
2017-10-08,143193000
2017-10-09,146389000
2017-10-10,157347000
2017-10-11,130926000
2017-10-12,122634000
2017-10-13,122028000
2017-10-14,109146000
2017-10-15,121426000
2017-10-16,130126000
2017-10-17,122846000
2017-10-18,124229000
2017-10-19,129067000
2017-10-20,120478000
2017-10-21,108199000
2017-10-22,121545000
2017-10-23,120703000
2017-10-24,141715000
2017-10-25,143997000
2017-10-26,136542000
2017-10-27,116462000
2017-10-28,95512000
2017-10-29,97588000
2017-10-30,114990000
2017-10-31,116991000
2017-11-01,121638000
2017-11-02,117701000
2017-11-03,113967000
2017-11-04,101635000
2017-11-05,102591000
2017-11-06,116782000
2017-11-07,123444000
2017-11-08,129083000
2017-11-09,127797000
2017-11-10,112747000
2017-11-11,113411000
2017-11-12,115113000
2017-11-13,131376000
2017-11-14,139175000
2017-11-15,141231000
2017-11-16,147950000
2017-11-17,152710000
2017-11-18,138200000
2017-11-19,139026000
2017-11-20,158308000
2017-11-21,152250000
2017-11-22,145307000
2017-11-23,133978000
2017-11-24,143265000
2017-11-25,132518000
2017-11-26,135590000
2017-11-27,158128000
2017-11-28,161014000
2017-11-29,155887000
2017-11-30,155139000
2017-12-01,152157000
2017-12-02,143043000
2017-12-03,142021000
2017-12-04,157158000
2017-12-05,153353000
2017-12-06,156727000
2017-12-07,160639000
2017-12-08,159647000
2017-12-09,147338000
2017-12-10,147001000
2017-12-11,164674000
2017-12-12,162002000
2017-12-13,165577000
2017-12-14,168819000
2017-12-15,165105000
2017-12-16,150611000
