day_of_week,average_total_electricity
Monday,114420440.0
Tuesday,118174488.63636364
Wednesday,119114316.38418078
Thursday,119001406.77966101
Friday,116143405.71428572
Saturday,105445884.39306359
Sunday,106184848.8372093
