id,bp_loc_id,count_id,town,description,temperature,sky,count_type,from_st_name,from_st_dir,to_st_name,to_st_dir,count_date,count_dow,cnt_0630,cnt_0645,cnt_0700,cnt_0715,cnt_0730,cnt_0745,cnt_0800,cnt_0815,cnt_0830,cnt_0845,cnt_0900,cnt_0915,cnt_0930,cnt_0945,cnt_1000,cnt_1015,cnt_1030,cnt_1045,cnt_1100,cnt_1115,cnt_1130,cnt_1145,cnt_1200,cnt_1215,cnt_1230,cnt_1245,cnt_1300,cnt_1315,cnt_1330,cnt_1345,cnt_1400,cnt_1415,cnt_1430,cnt_1445,cnt_1500,cnt_1515,cnt_1530,cnt_1545,cnt_1600,cnt_1615,cnt_1630,cnt_1645,cnt_1700,cnt_1715,cnt_1730,cnt_1745,cnt_1800,cnt_1815,cnt_1830,cnt_1845,cnt_1900,cnt_1915,cnt_1930,cnt_1945,cnt_2000,cnt_2015,cnt_2030,cnt_2045,cnt_total
26,20014,7003,Boston,"",54,3,B,Comm Ave.,WB,Essex St.,SB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8,4,3,1,1,1,0,1,0,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,30,
27,20014,7003,Boston,"",54,3,B,Comm Ave.,WB,BU Br.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,9,6,6,8,7,5,3,5,13,8,14,12,16,15,19,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,195,
28,20014,7003,Boston,"",54,3,B,Essex St.,NB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,
29,20014,7003,Boston,"",54,3,B,Essex St.,NB,BU Br.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,4,2,0,1,3,3,1,4,7,4,5,5,5,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,65,
30,20014,7003,Boston,"",54,3,B,Essex St.,NB,Comm Ave.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,
31,20014,7003,Boston,"",54,3,B,BU Br.,SB,Comm Ave.,EB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,1,1,2,0,2,1,3,2,1,0,0,2,1,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,
32,20014,7003,Boston,"",54,3,B,BU Br.,SB,Essex St.,SB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,2,1,3,2,3,7,2,3,3,5,7,8,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0,87,
33,20014,7003,Boston,"",54,3,B,BU Br.,SB,Comm Ave.,WB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,4,8,0,1,1,1,1,2,6,2,7,5,3,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,63,
34,20014,7003,Boston,"",54,3,B,Comm Ave.,EB,BU Br.,NB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,2,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,
35,20014,7003,Boston,"",54,3,B,Comm Ave.,EB,Essex St.,SB,"1975-10-09",Thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,3,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,
