bp_loc_id,avg_count,Monday count,Tuesday count,Wednesday count,Thursday count,Friday count,Saturday count,Sunday count
20173,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0
20174,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
20175,156.5,156.5,99.5,156.5,156.5,156.5,213.5,156.5
11015,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5
20176,331.6666666666667,331.6666666666667,79.0,331.6666666666667,331.6666666666667,331.6666666666667,458.0,331.6666666666667
20177,226.75,226.75,235.0,218.5,226.75,226.75,226.75,226.75
20178,638.0,638.0,638.0,682.5,810.0,638.0,421.5,638.0
20179,194.25,194.25,194.25,31.0,194.25,194.25,357.5,194.25
402,1317.75,1317.75,1220.5,1415.0,1317.75,1317.75,1317.75,1317.75
20180,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
20187,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0
20188,19.833333333333336,19.833333333333336,25.5,19.833333333333336,11.0,19.833333333333336,23.0,19.833333333333336
20121,663.0,663.0,663.0,663.0,663.0,663.0,663.0,663.0
20190,128.13300492610838,41.0,47.9,22.5,41.099999999999994,65.0,208.58241758241758,201.5
20192,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
20189,31.193548387096776,31.193548387096776,40.083333333333336,32.1,35.07692307692308,16.5,26.642857142857142,24.545454545454547
20200,677.0,677.0,677.0,333.0,1021.0,677.0,677.0,677.0
20275,482.5,482.5,482.5,482.5,482.5,586.0,379.0,482.5
20276,69.66666666666667,119.0,69.66666666666667,73.0,48.0,85.0,67.0,10.0
20277,9.8,9.8,11.5,1.0,9.0,16.0,9.8,9.8
20278,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0
20279,78.4,29.0,48.0,72.0,78.4,141.0,102.0,78.4
20280,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
20281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20285,76.0,76.0,120.0,74.0,34.0,76.0,76.0,76.0
20050,66.5,66.5,70.0,132.0,66.5,66.5,39.0,25.0
20291,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
